rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
605,7,9,4.53,9,"Rufus Thomas"
606,7,8,5.53,9,"The Yardbirds"
607,7,9,5.63,9,"The Young Rascals"
608,7,8,5.55,9,"Rare Earth"
609,7,8,5.51,9,"The Partridge Family Starring Shirley Jones Featuring David Cassidy"
610,7,9,5.00,9,"Curtis Mayfield"
611,7,8,6.14,9,"Don McLean"
612,7,9,5.70,9,"Roberta Flack"
613,7,9,5.98,9,"Tony Orlando & Dawn"
614,7,9,6.33,9,"England Dan & John Ford Coley"
615,7,9,5.67,9,"Pablo Cruise"
616,7,9,5.64,9,"Meat Loaf"
617,7,9,4.38,9,"Alabama"
618,7,8,6.73,9,"Tears For Fears"
619,7,9,4.63,9,"Kenny G"
620,7,9,6.74,9,"Rick Astley"
621,7,7,6.89,9,"Ludacris"
622,7,8,3.72,8,"Skeeter Davis"
623,7,7,4.81,8,"Gene McDaniels"
624,7,8,5.45,8,"Eric Burdon & The Animals"
625,7,8,4.24,8,"Al Wilson"
626,7,8,4.91,8,"Crosby, Stills & Nash"
627,7,8,6.65,8,"John Lennon"
628,7,8,5.50,8,"Rufus Featuring Chaka Khan"
